CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.01;Receita de Venda de Bens e/ou Serviços;1707488.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.01;Receita de Venda de Bens e/ou Serviços;1909528.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-1160457.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.02;Custo dos Bens e/ou Serviços Vendidos;-1376156.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.02.01;Custo das vendas e serviços;-1120868.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.02.01;Custo das vendas e serviços;-1357928.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.02.02;Variação do valor justo de ativos biológicos;-39589.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.02.02;Variação do valor justo de ativos biológicos;-18228.0000000000;N
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.03;Resultado Bruto;547031.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.03;Resultado Bruto;533372.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.04;Despesas/Receitas Operacionais;429602.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.04;Despesas/Receitas Operacionais;-158488.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.04.01;Despesas com Vendas;-136503.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.04.01;Despesas com Vendas;-138188.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.04.02;Despesas Gerais e Administrativas;-103584.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.04.02;Despesas Gerais e Administrativas;-143196.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;-3973.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.04.03;Perdas pela Não Recuperabilidade de Ativos;-2002.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2022-04-01;2023-03-31;3.04.04;Outras Receitas Operacionais;670411.0000000000;S
02.635.522/0001-95;2024-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2023-04-01;2024-03-31;3.04.04;Outras Receitas Operacionais;143263.0000000000;S
